category,definition,terms
, array acoustic log,ARACL 
, array acoustic report,ARRC 
, Array induction tool,AIT 
, array sonic processing log,AS 
, array sonic processing report,ASP 
, Artificial lift,AL
, As low as reasonably practicable,ALARP
, ASI log,ASI 
, Asociation for the Study of Peak Oil & Gas,ASPO
, Asset performance management,APM
, Association of Oil Pipe Lines,AOPL
, Association of Southeast Asian Nations,ASEAN
," atmosphere, a unit of pressure",atm
, Atmosphere-supplying respirator,ASR
, Atwater Valley Gulf of Mexico leasing area,AT
, Australian industry participation,AIP
," Authorization For Expenditure, a process of submitting a business proposal to investors",AFE 
, Auto-ignition temperature,AIT
," Automated Data Inquiry for Oil Spills, NOAA's oil weathering model",ADIOS
, Autonomous underwater vehicle,AUV
, auxiliary measurement service log; Auxiliary Measurement Sonde (temperature),AMS 
, Average annual growth rate,AAGR
," Awaiting Development with Exploration Potential, referring to an asset",ADEP 
, azimuthal resistivity image,ARI 
, B/QL log,BQL 
, back on bottom,BOB 
, Back pressure valve,BPV
, back-off log,BO 
, Baker Hughes,BH
, baker plug,BPLUG 
, ball valve operator,BVO 
, barrel,bbl 
, Barrel (42 galUS),b
, barrel(s) of oil equivalent per day,boed 
, barrels condensate per day,BCPD 
, Barrels of fluid per day,BFPD
, Barrels of liquid per day,BLPD
, Barrels of oil equivalent,boe
, barrels of oil equivalent per day,boe/d
, Barrels of oil equivalent per day,BOEPD
, Barrels of oil per day,BOPD
, Barrels of water per day,BWPD
, barrels of water per day (often used in reference to oil production),bwd 
, barrels per day,BPD
, barrels per hour,BPH 
, Barrels per minute,BPM
, base of ground-water protection,BGWP 
, basic offshore safety induction and emergency training,BOSIET 
, Basic sediment and water,BS&W
, Bay Marchand Area Gulf of Mexico leasing area,BM
, Behavioral-based safety,BBS
, behaviour-based safety management,BBSM 
, below Derrick floor,BDF 
, below ground level (used as a datum for depths in a well),BGL 
, Below mud line,BML
, below rotary table (used as a datum for depths in a well),BRT 
, Below sea level,BSL
, below sea mean level,BSML 
, Bend Stiffener,BS 
, Bend strength ratio,BSR
," benzene, toluene, ethyl-benzene and xylene",BTEX 
, Best available and safest technology,BAST
, BHC acoustic log,BHCA 
, BHC gamma ray log,BHC 
, BHC sonic log,BHCS 
, BI/DK/WF/Casing collar locator/gamma ray log,BIVDL 
, Bill of materials,BOM 
, billion cubic feet (of natural gas equivalent),Bcfe 
, billion cubic feet (of natural gas),Bcf 
, Biological Oxygen Demand,BOD 
, biostratigraphic range log,BIOR 
, biostratigraphy study report,BIORE 
, bit data log,BDL 
, Blind shear ram,BSR
, bloodhound,BH 
, Blowout preventer,BOP
, Blowout preventer equipment,BOPE
, Boarding shutdown valve,BSDV
, Boiling point,BP
, bond index quicklook log,BINXQ 
, Borehole acoustic reflection survey,BARS
, borehole geometry log,BGL 
, borehole geometry tool,BGT 
, borehole log,BHL 
, borehole pressure report,BHPRP 
, borehole profile log,BPFL 
, borehole seismic analysis,BOREH 
, borehole seismic survey,BHSS 
, borehole television report,BHTV 
, Bottom Assembly (of a riser),BA 
, bottom hole locator log,BOTHL 
, bottom hole log,BTHL 
, bottom hole pressure/temperature report,BOTTO 
, bottom hole sampling report,BHSRE 
, bottom of logging interval,BLI 
, bottom of pipe,BOP 
, Bottom simulating reflector,BSR
, bottom up,BU 
, bottom up lag,BUL 
, Bottomhole assembly,BHA
, Bottomhole circulating pressure,BHCP
, Bottomhole circulating temperature,BHCT
, Bottomhole flowing pressure,BHFP
, Bottomhole location,BHL
, Bottomhole pressure,BHP
, Bottomhole static temperature,BHST
, Bottomhole temperature,BHT
, Brazil's National Petroleum Agency,ANP
, Brazos Area Gulf of Mexico leasing area,BA
, break to open/close (valve torque),BTO/C 
," Brent, Forties, Oseberg, and Ekofisk (oil fields)",BFOE
, Breton Sound Area Gulf of Mexico leasing area,BS
, bridge plug log,BRPLG 
, Bridge-linked platform,BLP
, Bridging agreement,BA
, British Geological Survey,BGS 
, British thermal unit,Btu
, Bubble point,BP
, build-up rate,BUR 
, Bureau Ocean Energy Management,BOEM 
, Burner safety low (burner flame detector),BSL
, butane,C4 
, By weight of cement,BWOC
, By weight of water,BWOW
," Caesium formate (coincidentally also an acronym of the sole large-scale supplier of caesium formate brine, cabot specialty fluids.)",CsF 
, calibrated velocity log data,CALVE 
, calliper HDT playback log,CHDTP 
, calliper log,CALI 
, cam-actuated running tool (housing running tool),CART 
, Canadian Association of Petroleum Producers,CAPP
, Canadian Society for Unconventional Gas,CSUG 
, Canadian Society of Petroleum Geologists,CSPG 
, Cap Replacement Tool,CART 
, Capital expenditure,CAPEX
, Captain of the port,COTP
, Carbon capture and storage (or sequestration),CCS
, carbon/oxygen log,COXY 
, cased and suspended,C&S 
, Cased hole,CH
, cased-hole neutron log,CSHN 
, Casing,Csg
, casing,csg 
, Casing collar locator,CCL
, casing collar locator perforation,CCLP 
, casing collar locator through tubing plug,CCLTP 
, Casing hanger assembly running tool,CHART
, casing hanger pressure (pressure in an annulus as measured at the casing hanger),CHP 
, casing hanger running tool,CHRT 
, casing log,CAS 
, Casing Running Tool,CRT 
, cast iron bridge plug,CIBP 
, Cathodic Protection,CP 
, Cause and effect,C&E
, CBIL log,CBIL 
, CDI synthetic seismic log,CDIS 
, CE log,CE 
, CEC analysis,CECAN 
, cement bond log (measurement of casing cement integrity),CBL 
, cement evaluation,CEME 
, cement evaluation tool,CET 
, cement remedial log,CERE 
, cement retainer setting log,CRET 
, cement tracer log,CTRAC 
, Cementing Shallow Water Flow Zones in Deep Water Wells,API RP 65
, Center for Offshore Safety,COS
, Centipoise,cP
, Central Area Transmission System,CATS
, Central North Sea,CNS 
, Certificate of Conformance,COC 
, Certificate of Financial Responsibility,COFR
, Certified material test reports,CMTR
, Certified Welding Inspector,CWI
, CG EL log,CGEL 
, Chandeleur Area Gulf of Mexico leasing area,CA
, Chandeleur Sound Gulf of Mexico leasing area,CS
, Change (delta),d
, change out (ex. from rod equipment to casing equipment),CO 
, Charlotte Harbor Gulf of Mexico leasing area,CH
, CHCNC gamma ray casing collar locator,CHCNC 
, checkshot and acoustic calibration report,CHECK 
, checkshot survey log,CHKSS 
, checkshot survey report,CHKSR 
, Chemical Data Reporting rule,CDR
, chemical injection downhole lower,CIDL 
, chemical injection downhole upper,CIDU 
, chemical injection metering valve,CIMV 
, chemical injection valve,CIV 
, Chemical Oxygen Demand,COD 
, Chemical process industries,CPI
, Chevron,CVX
, Chief financial officer,CFO
, Chlorofluorocarbon,CFC
, Choke and kill,C&K
, choke bridge module ,CBM 
, choke module,CM 
, Christmas tree,XMT
, chromatolog,CHROM 
, Chronological Sample Taker log (Schlumberger),CST 
, circumferential acoustic log,CALOG 
, Clamp Replacement tool,CRT 
, Clean Carribbean & Americas,CCA
, Clean Gulf Association,CGA
, Clockwise,CW
, closed-in tubing head pressure (tubing head pressure when the well is shut in),CITHP 
, CMR log,CMR 
, CNFD true vertical-depth playback log,CNFDP 
, CNL/FDC log,CNLFD 
, CNT true vertical-depth playback log,DTPB 
, Coal Seam Gas,CSG 
, Coalbed methane,CBM
, Coastal Management Program,CMP
," Coastal Wetlands Protection, Planning & Restoration Act",CWPPRA
, Coastal Zone Management Program,CZMP
, Code of Federal Regulations,CFR
, coil tubing lift frame,CTLF 
, Coiled tubing,CT
, coiled tubing clean-out,CTCO 
, Coiled tubing drilling,CTD
, Coiled tubing unit,CTU
, Cold heavy oil production with sand,CHOPS
, collar log,COL 
," Collection of contracts and futures contracts regarding oil from the Brent, Forties, Oseberg, and Ekofisk fields",Brent crude
, Combinable Seismic Imager (VSP) log (Schlumberger),CSI 
, common depth point (geophysics),CDP 
, common midpoint (geophysics),CMP 
, common/central reference point (subsea survey),CRP 
, compact gas to liquids (production equipment small enough to fit on a ship),CGTL 
, compaction log,COML 
, Compensate Amplitudes,WAV5 
, compensated dual resistivity cal. log,CDRCL 
, compensated neutron density,CND 
, compensated neutron gamma-ray log,CNGR 
, compensated neutron log,CNL 
, compensated tension lift frame,CTLF 
, complete seal-off,CSO 
, complete well on paper,CWOP 
, completion fluid,CF 
, completion program report,COMPR 
, completion record log,COMRE 
, completion work over riser,CWOR 
, Complex total,CT
, composite log,COMP 
, compositional analysis,COMAN 
, Compound annual growth rate,CAGR
, comprehensive drilling plan,CDP 
, Compressed natural gas,CNG
, Compressional wave,P-wave
, Computational fluid dynamics,CFD
, Computer-based training,CBT
, computest report,COMPU 
, condensate analysis report,CONDE 
, Condensate gas equivalent,GE 
, condensate gas ratio,CGR 
, Conditions of Approval,COA 
, conduction log,CILD 
, Connector Actuating Tool,CAT 
, Consumption/production (ratio),C/P
, continuous directional log,CONDR 
, Contractor Safety Management for Oil & Gas Drilling and Production Operations,API RP 76
," contractor, health, environment and safety management",CHESM 
, control distribution unit,CDU 
, control riser platform,CRP 
, conventional buoy mooring,CBM 
, core analysis log,CA 
, core analysis report,CORAN 
, core barrel,CB 
, core chart log,CCHT 
, core data,CDATA 
, core description,CD 
, core gamma log,CGL 
, core graph log,CGPH 
, core log,CL 
, core log and graph,CLG 
, core orientation report,COROR 
, core report,CORE 
, core sample taken log,CSTAK 
, core sampler tester log,CSMT 
, corgun log,CORG 
, coriband log,CORIB 
, Corporate Social Responsibility,CSR 
, Corpus Christi Gulf of Mexico leasing area,CC
, correlation log,CORLG 
, Corrosion-resistant alloy,CRA
, corrugated plate interceptor,CPI separator 
, Counterclockwise,CCW
, CPI coriband log,CPICB 
, CPI log (computer-processed interpretation),CPI 
, CPI report,CPIRE 
, crack tip opening displacement,CTOD 
, Critical Infrastructure and key resources,CIKR
," Cross-connection, cross correlation",XC 
, Cross-linked (to increase gel viscosity),X-linked
, Cross-Multipole Array Acoustic log,XMAC 
, Crossover,X-over
, Cross-Over,XO 
, Cross-Over Valve,XOV 
, Crossplot Porosity,XPOR 
, Crossplot Selection for XPHI,XPHLOC 
, cross-plots log,DSPT 
, Crude oil with API gravity of 20 or less,Heavy oil
, Crystalline (minerals),Xln 
, CST report,CSTRE 
, Customer relationship management,CRM
, cutter log,CUT 
, cuttings description report,CUTTD 
, cyberbond log,CYBD 
, cyberdip log,CYDIP 
, cyberdon log,CYDN 
, cyberlook log,CYBLK 
, cyberproducts log,CYPRO 
, Cyclic steam stimulation (method),CSS
, Darci log,DARCI 
, Darcy,D
, Day,D
, Days away from work,DAFW
," Days Away, Restricted work, or job Transfer",DART
, DDBHC waveform log,DDBHC 
, dead-man anchor,DMA 
, decay time,DECT 
, Deep draft caisson vessel,DDCV
, deep induction SFL log,DESFL 
, Deep water,DW
," deeper pool test, Lahee classification",DPT 
, Deepwater Horizon,DWH
, Deepwater operations plan,DWOP
, definitive survey report,DEFSU 
, delegation of authority,DOA 
, Delta pressure,dP
, delta-T log,DELTA 
, density log,DEN 
, Density Porosity Log,POR 
, Department for Energy and Climate Change (UK),DECC 
, deposit analysis report,DEPAN 
, depositional history curve,DHC 
," Depreciation, depletion and amortization",DD&A
, depth control log,DEPC 
, depth determination log,DDET 
, depth to time,DTT 
, Derrick drilling machine (a.k.a. top drive),DDM 
, Derrick floor,DF 
, Designation of operator,DOO
, Desoto Canyon Gulf of Mexico leasing area,DC
, Development and production plan,DPP
," development license (United Kingdom), a type of onshore license issued before 1996",DL 
, Development operations coordination documents,DOCD
," development well, Lahee classification",DEV 
, deviation log,DEVLG 
," Deviation survey, (also directional system)",DS 
, Dewpoint,DP
, D-exponent log,DEXP 
, dielectric gamma ray log,DIEGR 
, Difference between plan and performance,Delta
, Difference between the price of crude oil and the price of products made from it,Crack spread
, differential pressure levitated device (or vehicle),DPLD 
, Digital linear tape,DLT
, dig-well seismic surface log,DWSS 
, dip and azimuth display,DAZD 
, dip interpretation,DINT 
, dip lithology pressure log,DIPLP 
, dip removal log,DIPRM 
, dip-list log,DLIST 
, dipmeter borehole log,DIPBH 
, dipmeter fast log,DIPFT 
, dipmeter log,DIP 
, dipmeter quality control log,DQLC 
, dipmeter report,DIPRE 
, dipmeter soda log,DIPSA 
, dipmeter stick log,DIPSK 
, dipole acoustic log,DAC 
, dipole acoustic report,DIPAR 
, dipole shear imager,DSI 
, Directional drilling,DD
, directional inertia mechanism,DIM 
, directional survey log,DIRS 
, directional survey report,DIRSU 
, DIS BHC log,DIBHC 
, Discharge monitoring report,DMR
, DISFL DBHC gamma ray log,DISFL 
, DIS-SLS log,DIS 
, Distance amplitude curve,DAC
, Distinct population segment,DPS
, Distributed Control System,DCS 
, diving support vessel or drilling supervisor,DSV 
, Dogleg,DL
, dog-leg severity (directional drilling),DLS 
, Double action bypass sub,DABS
, double block and bleed,DBB 
, Downhole completion equipment,DHCE
, downhole logging,DNHO 
, downhole pressure/temperature transducer,DHPTT 
, downhole report,DOWRE 
, downhole safety valve,DHSV 
, drift log,DRI 
, drill centre,DC 
, Drill collar,DC
, drill data plot log,DDPT 
, drill in fluids,DIF 
, drill pipe,DP 
, drilling and completions,D&C 
, drilling chart,DRLCT 
, drilling factual report,DFR 
, drilling history,DH 
, drilling log,DRLOG 
, drilling pressure,DRPRS 
, drilling program report,DRPG 
, drilling proposal/progress report,DRLPR 
, drilling report,DR 
, drilling report,DRREP 
, Drilling well on paper (exercise),DWOP
, Drillstem test,DST
, drill-stem test job report/works,DSTW 
, drill-stem test log,DSTL 
, drill-stem test report,DSTR 
, drill-stem test report,DSTRE 
, drill-stem test summary report,DSTSM 
, drill-stem test true vertical depth playback log,DSTPB 
, Dry film thickness,DFT
, Dry Tortugas Gulf of Mexico leasing area,DT
, drying report,DRYRE 
, DSC analysis report,DSCAN 
, DSTG log,DSTG 
, dual caliper log,DCAL 
, dual det. neutron life log,DDNL 
, dual induction sonic log,DISO 
, dual laterolog (deep and shallow resistivity),DLL 
, dual propagation log,DPL 
, dual propagation resistivity log,DPRES 
, dual-induction BHC log,DILB 
, dual-induction laterolog,DILL 
, dual-induction log,DIL 
, dual-induction log-LSS,DILLS 
, dual-induction log-SLS,DILSL 
, dual-space thermal neutron density log,DSTND 
, dual-water quicklook log,DWQL 
, dummy-run log,DR 
, Dustin Dome Gulf of Mexico leasing area,DD
, DXC pressure pilot report,DXC 
, DXC Pressure Plot Log,PP 
, dynamic geohistory plot (3D technique),DGP 
, dynamic positioning,DP 
, Dynamic positioning system,DPS
, Dynamically positioned,DP
, dynamically positioned drilling vessel,DPDV 
, Dynamically positioned semisubmersible,DPSS
, Earnings before interest and taxes,EBIT
," Earnings before interest, taxes, depreciation, and amortization",EBITDA
, Earnings per share,EPS
, East Breaks Gulf of Mexico leasing area,EB
, East Cameron Area Gulf of Mexico leasing area,EC
, East/west,E/W
, Eastern Trough Area Project,ETAP
, Economic Limit Test,ELT 
, Effective daily recovery capacity (of oil skimmers),EDRC
, Eglin Water Test Area,EWTA
, Electric Heat Trace,EHT 
, Electric Log,EL 
, Electrical and Instrumentation,E&I 
, Electrical equipment in hazardous areas,EEHA
, Electrical Flying Lead,EFL 
, Electrical instrumentation and control,EI&C
, Electrical metallic tubing (conduit),EMT
, Electrical Power Conditioning Unit,EPCU 
, Electrical submersible pump,ESP
, Electrical Test Unit,ETU 
, Electrically Controlled Release Tool,ECRD 
, Electric-resistance welded (pipe),ERW
, Electro-discharge machining,EDM
, Electromagnetic,EM
, Electromagnetic inspection,EMI
, Electromagnetic Propagation,EPT 
, Electromagnetic Propagation Log,EMP 
, Electromagnetic Thickness Test,ETTD 
, Electrostatic discharge,ESD
, Emergency control center,ECC
, Emergency Disconnect Package,EDP 
, Emergency disconnect sequence,EDS
, Emergency disconnect system,EDS
, Emergency escape and refuge (system),EER
, Emergency evacuation plan,EEP
, Emergency response and control,ERC
, Emergency response plan,ERP
, Emergency response team,ERT
, Emergency Response Training,ERT 
, Emergency Shut-Down,ESD 
, EMOP Log,EM 
, EMOP Well Site Processing Log,EMOP 
, End of Field Life,EOFL 
, End of operations (report),EOR
, End of Tubing,EOT 
, End of well (report),EOW
, End Of Well Report,EWR 
, Energy returned on energy invested,EROEI
, Enerjet Log,ENJ 
, Engineer Factual Report,ENGF 
, Engineering Factual Report,EFR 
, Engineering Log,ENG 
, Engineering Porosity Data,ENGPD 
," Engineering, procurement, construction, and installation",EPCI
, Enhanced oil recovery,EOR
, Enhanced Productivity Index Log,EN PI 
, Ente Nazionale Idrocarburi S.p.A. (Italy),Eni 
, Enterprise resource planning,ERP
, Environmental Assessment,EA
, Environmental impact assessment,EIA
, Environmental impact statement,EIS
, Environmental risk assessment,ERA
, Environmental Sensitivity Index,ESI
, Epilog,EPLG 
, EPL Log,EPL 
, EPL-PCD-SGR Log,EPLPC 
, EPT-NGT Log,EPTNG 
, Equation of state,EOS
, Equipment verification inspection,EVI
, Equivalent circulating density,ECD
, Equivalent Mud Gradient,EMG 
, Equivalent Mud Weight,EMW 
," Escape, evacuation, and rescue analysis",EERA
, Essential fish habitat,EFH
, Estimated ultimate recovery,EUR
, ethane,C2 
, Ethylene Glycol Mono-Butyl Ether,EGMBE 
, Eugene Island Area Gulf of Mexico leasing area,EI
, European Association of Geoscientists & Engineers,EAGE 
, European Chemicals Agency,ECHA
, European Union,EU
, Evaluation Report,EVARE 
, Event tree analysis,ETA
, Ewing Bank Gulf of Mexico leasing area,EW
, Expand-while-drilling (tools),EWD
, Expected surface pressure,ESP
, Expected surface pressure for the completion case,ESPcc
, Exploration and Appraisal,E&A 
, Exploration and production,E&P
, Exploration and Production Integrated Drilling Operations and Reservoir Information System,EPIDORIS 
, Exploration Asset,EA 
, Exploration Drilling Program Report,EDP 
, Exploration Drilling Report,EDR 
," Exploration Licence (United Kingdom), a type of onshore licence issued between the First Onshore Licensing Round (1986) and the Sixth (1992)",XL
, Exploration plan,EP
, Extended Range Micro Imager (Halliburton),XMRI 
, Extended Reach (Drilling),ERD
, Extended-reach well,ERW
, External Casing Packer,ECP 
, ExxonMobil,XOM
, EZSV Log,EZSV 
, F log,FL 
, Facility measurement point,FMP
, Factory Acceptance Testing,FAT
, factual report,FAC 
, fail safe,FS 
, Failure investigation reports,FIR
, Failure modes and effects analysis,FMEA
," Failure modes, effects, and criticality analysis",FMECA
, fairing intervention tool,FIT 
, Fast response units,FRU
, fault (geology),FLT 
, Fault tree analysis,FTA
, F-curve log,FCVE 
, Federal Oil and Gas Royalty Management Act (US Regulation),FOGRMA
, Federal on-scene coordinator,FOSC
, Field development planning,FDP
, field equipment room,FER 
, field plan log,FPLAN 
, Field Representation  System Integration Test ,FR SIT
, field-level risk assessment,FLRA 
, field-normalised compensated neutron porosity,CNCF 
, FIL log,FIL 
, final circulating pressure,FCP 
, final geological report,FGEOL 
, final inspection,FI 
, final investment decision,FID 
, Final notice of sale,FNOS
, final reserve report,FRES 
, final stratigraphic report,FINST 
, final well report,FWR 
, Finding of No Significant Impact,FONSI
, fire-team member,FTM 
," First in, first out",FIFO
, first tranche petroleum,FTP 
, Fishermen's Contingency Fund,FCF
, flawless start-up initiative,FSI 
, float collar,FC 
, Floating production system,FPS
, Floating production unit,FPU
," Floating production, storage, and offloading (vessel)",FPSO
, Floating storage and offloading (vessel),FSO
, FLOG PHIX RHGX Log,FLOG 
, Florida,FL
, Florida Middle Ground Gulf of Mexico leasing area,FM
, Flow,q
, flow analysis log,FPL 
, flow and buildup test report,FLOW 
, flow profile report,FLOPR 
, flow wing valve (also known as production wing valve on a xmas tree),FWV 
, Flower Garden Banks National Marine Sanctuary,FGBNMS
, flow-induced pulsation,FIP 
, flow-induced vibration,FIV 
, Flowing bottomhole pressure.,FBHP
, Flowing tubing pressure,FTP
, Flowing wellhead pressure,FWHP
, Flowline end termination,FLET
, flowline injection valve,FLIV 
, Flowline manifold termination,FLMT
, flowline support base,FSB 
, Flowmeter,FM
, fluid identification test,FIT 
, fluid sample,FLS 
, flying lead orientation tool,FLOT 
, FMC Technologies,FMC
, FMT analysis report,FMTAN 
, Foreign exchange,FX
, Formal safety assessment,FSA
, Format developed by the Society of Exploration Geophysicists for storing geophysical data,SEG-Y
, formation analysis sheet log,FANAL 
, formation density log,FDC 
, formation evaluation while drilling,FEWD 
, formation factor log,FFAC 
, Formation integrity test,FIT
, formation interpretation,FINTP 
, formation interval tester,FIT 
, Formation isolation valve,FIV
, formation micro imaging log (azimuthal microresistivity),FMI 
, formation microscan report,FMP 
, formation multi-scan log; formation micro-scan log,FMS 
, Formation Pressure Test log (Schlumberger),XPT 
, formation tester log,FT 
, formation testing report,FTRE 
, Formation volume factor,FVF
, Former Soviet Union,FSU
, four-arm calliper log,FACHV 
, Frac pack,FP
, Fracture gradient,FG
, fracture log,FRA 
, fracture potential and domain modelling/mapping,FPDM 
, fracture report,FRARE 
, free issue (materials),FI(M) 
, Free on board,FOB
, free water knock-out,FWKO 
, free water level,FWL 
, free-point indicator tool,FPIT 
, Freight on board,FOB
, From east line,FEL
, From north line,FNL
, From south line,FSL
, From west line,FWL
, Front-end engineering and design,FEED
, full diameter study report,FULDI 
, full field model,FFM 
, Full length magnetic particle inspection,FLMPI
, Full length ultrasonic inspection,FLUT
, full-hole tool joint,FH 
, Full-opening safety valves,FOSV
, functional design specification,FDS 
, funnel viscosity or float valve,FV 
, Further Offshore Emergency Training,FOET 
, fusion-bonded epoxy,FBE 
, Gainesville Gulf of Mexico leasing area,GV
, Galvanized rigid conduit,GRC
, Galveston Area Gulf of Mexico leasing area,GA
, Gamma ray,GR
, Gamma Ray Log,IH 
, Gamma Ray Neutron Log,GRN 
, Garden Banks Gulf of Mexico leasing area,GB
, Gas Analysis Report,GASAN 
, Gas chromatography,GC
, Gas chromatography/mass spectrometry,GC/MS
, Gas Condensate,G/C 
, Gas Down To,GDT 
, Gas Initially In Place,GIIP 
, Gas Lift,GL 
, Gas Lift Mandrel (alternative name for Side Pocket Mandrel),GLM 
, Gas Lift Valve,GLV 
, Gas Liquid Ratio,GLR 
, Gas Log,GAS 
, Gas metal arc welding,GMAW
, Gas Oil Contact,GOC 
, Gas Oil Ratio,GOR 
, Gas oil separation plant,GOSP
, Gas Supplier,GS 
, Gas To Liquid,GTL 
, Gas To Wire,GTW 
, Gas/water contact,GWC
, Gauge Ring,GGRG 
, Gaz de France,GdF
, GCT Log,GCT 
, Gel Strength,GS 
, General arrangement (of offshore equipment),GA
, General ledger,GL
, General US INCs. G-110,G-INC
, Generally accepted accounting principles,GAAP
, GEO DYS Log,GEODY 
, Geo Pressure Log,GPSL 
, Geo Well Report,GWREP 
, Geochemical Evaluation,GEOCH 
, Geochemical Evaluation Report,GEOEV 
, Geodetic Datum,GDAT 
, Geodip Log,GDIP 
, Geographic Information System,GIS 
, Geol Plot Log,GPLT 
, Geological & Formation Evaluation Report,GEOFO 
, Geological Operations Progress Report,GEOPR 
, Geological Operations Report,GOP 
, Geological Report,GEORE 
, Geological Summary Sheet,SUMST 
, Geological Surveillance Log,GEOL 
, Geological Well Prognosis Report,GEOPN 
, Geology and geophysics,G&G
, Geophone Data Log,GEOP 
, Gigajoule,GJ
, Glass Reinforced Plastic,GRP 
," Global Association for the use of knowledge on Fractured Rock in a state of Stress, in the field of Energy, Culture and Environment",SFERAE 
, Global Rig Share Solutions group,GRSS
, Globally Harmonized System of Classification and Labelling of Chemicals,GHS
, GLT Log,GLT 
, Government Compliance Action Team,GCAT
, Gradient Survey Log,GRSVY 
, Gradiometer Log,GRAD 
, Grand Isle Area Gulf of Mexico leasing area,GI
, Graphic Core Log,GCLOG 
, Grapholog,GRLOG 
, Gravel pack,GP
, Gravity Base Tank,GBT 
, Gravity Based Structure,GBS 
, Green Canyon Gulf of Mexico leasing area,GC
, Greenhouse gas,GHG
, Gross domestic product,GDP
, Gross Rock Volume,GRV 
, Ground Elevation,GE 
, Ground Elevation,GRE 
, Ground fault circuit interrupter,GFCI
, Ground Level,GL 
, Ground Level Elevation (generally in metres above mean sea level),GLE 
, GST Log,GST 
," Gulf Cooperation Council (Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, and the United Arab Emirates)",GCC
, Gulf of Mexico,GOM 
, Gulf of Mexico Program,GMP
, Gulf of Mexico region,GOMR
, Gun Set Log,GUN 
, Habitat area of particular concern,HAPC
, Halliburton,HAL
, Hand/on/off (switch),HOA
, Hazard analysis,HA
, Hazard and operability (analysis),HAZOP
, Hazard communications,HAZCOM
, Hazard identification (study),HAZID
, Hazardous Operation,HAZOP 
, Hazardous waste conditionally exempt small quantity generator,CESQG
, Hazardous waste large quantity generator,LQG
, Hazardous waste operations and emergency response,HAZWOPER
, Hazardous waste small quantity generator,SQG
, HCAl of Calliper (in Inches),HRCC 
, Health and safety management plan,HSMP
," Health, environment, and safety",HES
," Health, safety, and environmental",HSE
," Health, safety, security, and environment",HSSE
, Heat Affected Zone,HAZ 
, heavy hydrocarbon components,C7+ 
, Heavy Load-out (Facility),HLO 
, Heavy weight drill pipe,HWDP
, Heavy Weight Drill Pipe,HWDP 
, Height or thickness,h
, Helicopter Landing Officer,HLO 
, Helicopter underwater egress training,HUET
, Helideck Assistant,HDA 
, Helideck Team Member,HTM 
, Helix Fast Response System,HFRS
, Helix Well Containment Group (an industry cooperative of 24 deepwater E&P companies working in the Gulf of Mexico),HWCG
